,gid,pa,ep,fp,yp,nb,year,cctv,light,log_pa,log_nb
1546,木夭丑友什67ba32bb,2.97,42.0,91.0,20.0,12.0,2004,1,8,1.0885619528146082,2.4849066497880004
1547,木夭丑友什67ba33aa,2.97,80.0,266.0,42.0,48.0,2004,2,17,1.0885619528146082,3.871201010907891
1548,木夭丑友什67ba33ab,2.136,41.0,113.0,13.0,23.0,2002,2,14,0.7589349210979485,3.1354942159291497
1551,木夭丑友什67ba34aa,1.414,11.0,34.0,0.0,6.0,2003,0,2,0.34642256747438094,1.791759469228055
1552,木夭丑友什67ba34ab,0.892,277.0,756.0,119.0,20.0,1996,0,1,-0.11428914640212766,2.995732273553991
1553,木夭丑友什67ba34ba,0.892,250.0,617.0,89.0,74.0,1995,1,18,-0.11428914640212766,4.30406509320417
1554,木夭丑友什67ba34bb,0.892,130.0,472.0,60.0,112.0,1996,1,8,-0.11428914640212766,4.718498871295094
1555,木夭丑友什67ba35aa,1.772,553.0,1569.0,341.0,20.0,1994,0,0,0.5721088521828892,2.995732273553991
1556,木夭丑友什67ba35ab,1.772,399.0,1284.0,308.0,23.0,2003,0,0,0.5721088521828892,3.1354942159291497
1557,木夭丑友什67ba35ba,1.293,126.0,787.0,296.0,35.0,2012,3,0,0.2569650997897204,3.5553480614894135
