설치개수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
1,경기도 성남시 중원구 금상로102번길15,경기도 성남시 중원구 상대원동 714,37.4414396,127.1672062,2018.8.16
1,경기도 성남시 중원구 제일로63번길21-9,경기도 성남시 중원구 성남동 3672,37.4316607,127.1335153,2018.8.16
1,경기도 성남시 중원구 제일로63번길21,경기도 성남시 중원구 성남동 3648,37.4319673,127.1333237,2018.8.16
1,경기도 성남시 중원구 제일로35번길38-2,경기도 성남시 중원구 성남동 3632,37.4316071,127.1330745,2018.8.16
1,경기도 성남시 중원구 제일로63번길27,경기도 성남시 중원구 성남동 3642,37.4318057,127.1327924,2018.8.16
1,경기도 성남시 중원구 은행동 1932-4,경기도 성남시 중원구 은행동 1932-4,37.4528305,127.1655698,2018.8.16
2,경기도 성남시 중원구 은행동 1932-4,경기도 성남시 중원구 은행동 1932-4,37.4528305,127.1655698,2018.8.16
1,경기도 성남시 중원구 자혜로67번길4,경기도 성남시 중원구 은행동 2410,37.4513331,127.166821,2018.8.16
1,경기도 성남시 중원구 자혜로57번길10,경기도 성남시 중원구 은행동 2421,37.4513606,127.1665385,2018.8.16
1,경기도 성남시 중원구 은행로88번길22,경기도 성남시 중원구 은행동 2424,37.4512435,127.1664817,2018.8.16
1,경기도 성남시 중원구 산성대로 478-3,경기도 성남시 중원구 은행동 423-15,37.4540795,127.1614586,2018.8.16
1,경기도 성남시 중원구 산성대로 482-4,경기도 성남시 중원구 은행동 423-11,37.4541062,127.1616734,2018.8.16
1,경기도 성남시 중원구 희망로367번길12-15,경기도 성남시 중원구 상대원동 3232,37.4390207,127.1569861,2018.8.16
1,경기도 성남시 중원구 희망로375번길13-2,경기도 성남시 중원구 상대원동 3228,37.4391106,127.1571218,2018.8.16
1,경기도 성남시 중원구 박석로49번길6-14,경기도 성남시 중원구 상대원동 1241,37.4376938,127.1655144,2018.8.16
1,경기도 성남시 중원구 박석로57번길3-1,경기도 성남시 중원구 상대원동 1239,37.4377749,127.1655146,2018.8.16
1,경기도 성남시 중원구 박석로49번길8-2,경기도 성남시 중원구 상대원동 1269,37.4372797,127.1652649,2018.8.16
1,경기도 성남시 중원구 박석로25번길20-3,경기도 성남시 중원구 상대원동 1543-2,37.4352997,127.1635997,2018.8.16
1,경기도 성남시 중원구 박석로25번길20-9,경기도 성남시 중원구 상대원동 1541,37.4355791,127.1636003,2018.8.16
