gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등
ㅼ궗674343,127.1321988,37.40770123,289,155,134,18,7,11,92,49,43,2,2,,1994,0,0
ㅼ궗669303,127.126728,37.37162894,301,148,153,41,19,22,33,17,16,2,2,,1994,0,0
ㅼ궗654317,127.1097217,37.38419336,53,31,22,0,0,0,6,0,0,16,,16,2013.5,1,5
ㅼ궗643344,127.0971661,37.40848843,0,0,,,,,,,,8,,,2007.5,0,1
ㅼ궗644319,127.0984163,37.38595827,25,13,12,0,0,0,0,0,0,7,,7,2012.86,1,3
ㅼ궗697398,127.1579619,37.45735407,28,17,11,0,0,,7,6,0,4,,2,1988.75,0,1
ㅼ궗665277,127.1223278,37.34817902,0,,0,,,,,,,1,,,2000,0,0
ㅼ궗684404,127.1432373,37.46271874,7,0,0,,,,0,0,0,2,,,2019.5,0,0
ㅼ궗656281,127.1121479,37.35175162,698,363,335,47,26,21,143,79,64,10,8,,1994.3,0,0
ㅼ궗606329,127.0554382,37.39481828,0,0,0,,,,0,0,0,1,,1,1974,0,0
ㅼ궗669321,127.1266475,37.38785353,440,225,215,69,34,35,82,45,37,6,2,,1992.17,0,0
ㅼ궗705391,127.1670354,37.45107039,721,351,370,55,28,27,158,93,65,85,26,53,1992.35,1,9
ㅼ궗649362,127.1038603,37.42473578,0,,0,,,,0,,0,,,,,0,0
ㅼ궗704398,127.1658767,37.45737671,296,143,153,17,7,10,78,43,35,31,11,14,1994,0,7
ㅼ궗681371,127.1399876,37.43296368,220,110,110,14,8,6,43,24,19,18,4,14,1992.22,0,6
ㅼ궗658266,127.1144752,37.33823845,443,234,209,62,35,27,52,29,23,3,2,,1995.67,0,0
ㅼ궗668351,127.1253833,37.41489083,471,238,233,60,25,35,77,39,38,4,4,,1993,0,0
ㅼ궗646307,127.1007328,37.37514957,12,7,0,0,,0,0,0,0,9,,1,2006.33,0,0
ㅼ궗683413,127.1420679,37.47082751,97,47,50,17,7,10,11,0,6,14,11,,2016.07,0,0
ㅼ궗640321,127.0938881,37.38774556,240,133,107,75,43,32,8,7,0,1,1,,2009,0,0
ㅼ궗624283,127.0760069,37.35343037,15,7,8,,,,6,0,0,2,,,1985.5,0,0
ㅼ궗662293,127.1188678,37.36259006,473,242,231,84,32,52,40,21,19,2,2,,1995,0,0
ㅼ궗618328,127.0690002,37.39396711,66,34,32,7,0,0,15,7,8,1,1,,2010,0,0
ㅼ궗671374,127.1286711,37.43563278,77,39,38,10,7,0,7,0,0,7,,3,1994.43,0,0
ㅼ궗651301,127.1064083,37.36976031,334,181,153,41,23,18,49,26,23,1,1,,2004,0,0
ㅼ궗715378,127.1783915,37.43938401,0,0,0,,,,,,,1,,,2006,0,0
