,gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등,security,security_encoded
1186,ㅼㅤㄱㅝㅀ699376,127.160313,37.4375307,468.0,224.0,244.0,31.0,16.0,15.0,82.0,43.0,39.0,52.0,5.0,40.0,1991.75,1,13,14,1
1193,ㅼㅤㄱㅝㅀ703372,127.1648506,37.43393816,337.0,143.0,194.0,36.0,17.0,19.0,61.0,27.0,34.0,33.0,6.0,22.0,1992.91,1,10,11,1
1208,ㅼㅤㄱㅝㅀ697391,127.1579906,37.45104456,726.0,359.0,367.0,116.0,47.0,69.0,103.0,61.0,42.0,20.0,18.0,1.0,2011.6,0,0,0,0
1211,ㅼㅤㄱㅝㅀ702386,127.1636638,37.44655399,680.0,309.0,371.0,33.0,17.0,16.0,122.0,64.0,58.0,38.0,12.0,20.0,1994.68,1,12,13,1
1235,ㅼㅤㄱㅝㅀ705390,127.1670394,37.45016903,210.0,101.0,109.0,8.0,0.0,0.0,64.0,33.0,31.0,57.0,1.0,37.0,1994.11,1,7,8,1
1245,ㅼㅤㄱㅝㅀ638333,127.0915702,37.3985541,186.0,85.0,101.0,22.0,10.0,12.0,38.0,18.0,20.0,4.0,1.0,3.0,2014.25,0,1,1,1
1246,ㅼㅤㄱㅝㅀ675353,127.1332848,37.41671835,629.0,331.0,298.0,50.0,24.0,26.0,120.0,69.0,51.0,8.0,2.0,2.0,2004.25,0,0,0,0
1252,ㅼㅤㄱㅝㅀ706399,127.1681341,37.45828444,225.0,99.0,126.0,13.0,0.0,9.0,46.0,25.0,21.0,8.0,6.0,2.0,1989.88,0,3,3,1
1253,ㅼㅤㄱㅝㅀ675377,127.1331793,37.43835097,214.0,104.0,110.0,16.0,8.0,8.0,59.0,36.0,23.0,41.0,1.0,32.0,1989.8,1,6,7,1
1260,ㅼㅤㄱㅝㅀ654277,127.1099084,37.34813872,213.0,118.0,95.0,10.0,8.0,0.0,29.0,14.0,15.0,19.0,5.0,10.0,1995.84,1,0,1,1
1262,ㅼㅤㄱㅝㅀ682373,127.1411093,37.43476983,500.0,244.0,256.0,25.0,10.0,15.0,121.0,69.0,52.0,47.0,11.0,31.0,1990.93,0,7,7,1
1263,ㅼㅤㄱㅝㅀ674319,127.1323045,37.3860685,148.0,82.0,66.0,20.0,11.0,9.0,13.0,8.0,0.0,3.0,2.0,1.0,2012.0,0,0,0,0
1265,ㅼㅤㄱㅝㅀ715361,127.178457,37.42406084,33.0,13.0,20.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,1.0,3.0,2010.14,0,3,3,1
1272,ㅼㅤㄱㅝㅀ676372,127.1343316,37.43384769,746.0,277.0,469.0,24.0,12.0,12.0,104.0,34.0,70.0,19.0,3.0,2.0,1999.61,0,1,1,1
1279,ㅼㅤㄱㅝㅀ690366,127.1501814,37.42848742,622.0,316.0,306.0,77.0,36.0,41.0,126.0,58.0,68.0,6.0,3.0,1.0,1996.0,0,0,0,0
